Name,UMAP 1,UMAP 2
output/mlm_0_sim_cse_5/model,7.2790217,6.227776
output/mlm_0_sim_cse_5/model,12.036659,8.680779
output/mlm_0_sim_cse_5/model,8.881074,9.121283
output/mlm_0_sim_cse_5/model,8.483454,8.834494
output/mlm_0_sim_cse_5/model,7.085665,6.4183426
output/mlm_0_sim_cse_5/model,7.548322,7.672014
output/mlm_0_sim_cse_5/model,6.511961,10.416078
output/mlm_0_sim_cse_5/model,6.719074,7.0441794
output/mlm_0_sim_cse_5/model,6.779849,10.695913
output/mlm_0_sim_cse_5/model,6.5624595,10.498465
output/mlm_0_sim_cse_5/model,6.463638,9.75459
output/mlm_0_sim_cse_5/model,8.803499,8.588786
output/mlm_0_sim_cse_5/model,10.073729,8.277728
output/mlm_0_sim_cse_5/model,6.129262,9.567399
output/mlm_0_sim_cse_5/model,10.439129,0.81862855
output/mlm_0_sim_cse_5/model,8.758817,8.58425
output/mlm_0_sim_cse_5/model,6.703775,10.098831
output/mlm_0_sim_cse_5/model,6.2830405,10.230657
output/mlm_0_sim_cse_5/model,7.2627215,8.197643
output/mlm_0_sim_cse_5/model,10.520585,11.4952345
output/mlm_0_sim_cse_5/model,6.770806,7.013565
output/mlm_0_sim_cse_5/model,9.427198,8.47916
output/mlm_0_sim_cse_5/model,7.3325434,9.693583
output/mlm_0_sim_cse_5/model,7.2335553,8.860964
output/mlm_0_sim_cse_5/model,10.877714,10.831978
output/mlm_0_sim_cse_5/model,8.931347,6.8931475
output/mlm_0_sim_cse_5/model,7.0622587,9.298028
output/mlm_0_sim_cse_5/model,8.950834,5.892158
output/mlm_0_sim_cse_5/model,8.265478,7.0162616
output/mlm_0_sim_cse_5/model,6.3360806,10.2305355
output/mlm_0_sim_cse_5/model,7.3634667,8.480743
output/mlm_0_sim_cse_5/model,6.2473106,9.509393
output/mlm_0_sim_cse_5/model,6.930531,6.815905
output/mlm_0_sim_cse_5/model,7.1669745,5.952733
output/mlm_0_sim_cse_5/model,6.5355415,10.063938
output/mlm_0_sim_cse_5/model,6.698605,9.99311
output/mlm_0_sim_cse_5/model,7.910216,8.126808
output/mlm_0_sim_cse_5/model,7.4148765,7.2411284
output/mlm_0_sim_cse_5/model,9.093157,8.210133
output/mlm_0_sim_cse_5/model,8.299403,7.008807
output/mlm_0_sim_cse_5/model,11.869087,8.806815
output/mlm_0_sim_cse_5/model,9.585203,6.684699
output/mlm_0_sim_cse_5/model,7.4672303,8.738938
output/mlm_0_sim_cse_5/model,10.573461,1.9672605
output/mlm_0_sim_cse_5/model,7.0177865,9.659152
output/mlm_0_sim_cse_5/model,7.2605267,7.1793475
output/mlm_0_sim_cse_5/model,7.31011,7.2411733
output/mlm_0_sim_cse_5/model,6.0895467,10.313638
output/mlm_0_sim_cse_5/model,7.269453,6.2225127
output/mlm_0_sim_cse_5/model,9.187538,7.664186
output/mlm_0_sim_cse_5/model,6.8329473,6.4247017
output/mlm_0_sim_cse_5/model,7.9755936,9.115223
output/mlm_0_sim_cse_5/model,7.5211,7.4630294
output/mlm_0_sim_cse_5/model,8.998992,5.656792
output/mlm_0_sim_cse_5/model,10.522349,2.4594197
output/mlm_0_sim_cse_5/model,6.9769444,9.301826
output/mlm_0_sim_cse_5/model,10.5565,2.2309139
output/mlm_0_sim_cse_5/model,7.4578195,9.491237
output/mlm_0_sim_cse_5/model,6.535543,6.8184886
output/mlm_0_sim_cse_5/model,9.042467,5.9208255
output/mlm_0_sim_cse_5/model,8.86075,7.2985134
output/mlm_0_sim_cse_5/model,6.959093,7.596405
